brand	category	name	imageUrl	id
SUBLIMIC	scalp-essence	フェンテフォルテ 頭皮用美容液	data/products/images/サブリミック_フェンテフォルテ_スクラブクレンザー_250g.jpg	sublimic-fuenteforte-essence
キラメラメ	treatment	キラメラメ トリートメント	data/products/images/HAHONICO_Kiramerame_Treatment_Set.png	hahonico-ramerame-tr
BYKARTE	shampoo	リペアシャンプー CH+	data/products/images/バイカルテ_リペア_シャンプー_CH+_280ml.jpg	viequalite-ch-sh
BYKARTE	shampoo	リペアシャンプー FH+	data/products/images/バイカルテ_リペア_シャンプー_FH+_280ml.jpg	viequalite-fh-sh
BYKARTE	shampoo	リペアシャンプー UH+	data/products/images/バイカルテ_リペア_シャンプー_UH+_280ml.jpg	viequalite-uh-sh
BYKARTE	treatment	セラムトリートメント HS+	data/products/images/バイカルテ_セラムトリートメント_HS+_250g.png	viequalite-serum-tr
BYKARTE	treatment	セラムトリートメント MS+	data/products/images/バイカルテ_セラムトリートメント_MS+_250g.png	viequalite-serum-tr-2
BYKARTE	treatment	セラムトリートメント SS+	data/products/images/バイカルテ_セラムトリートメント_SS+_250g.png	viequalite-serum-tr-3
BYKARTE	hair-mask	コンセントレイト エッセンス	data/products/images/バイカルテ_コンセントレイトエッセンス_40g.jpg	viequalite-concentrate-mask
BYKARTE	hair-mask	セラムマスク	data/products/images/バイカルテ_セラムマスク_100g.jpg	viequalite-serummask-mask
BYKARTE	out-bath-oil	エッセンス オイル	data/products/images/バイカルテ_エッセンスオイル_95ml.png	viequalite-essence-oil
BYKARTE	out-bath-milk	エッセンス ミルク	data/products/images/バイカルテ_エッセンスミルク_95ml.png	viequalite-essence-out
REKERA	treatment	REKERA エマルジョン (インバス)	data/products/images/REKERA_エマルジョン_200ml.png	likera-emulsion-tr
REKERA	outbath-milk	REKERA エマルジョン (アウトバス)	data/products/images/REKERA_エマルジョン_200ml.png	likera-emulsion-out
つるりんちょ。	shampoo	つるりんちょ。シャンプー	data/products/images/つるりんちょ_シャンプー_400ml_公式.png	drama-tsurun-sh-sh
つるりんちょ。	shampoo	つるりんちょ。ブースター	data/products/images/つるりんちょ_ブースター_300ml_公式.png	drama-tsurun-booster-sh
つるりんちょ。	treatment	つるりんちょ。トリートメント	data/products/images/つるりんちょ_トリートメント_380g_公式.png	drama-tsurun-tr-tr
つるりんちょ。	treatment	つるりんちょ。トリートメント SARARITO	data/products/images/つるりんちょ_トリートメント_SARARITO_公式.png	drama-tsurun-sararito-tr
いるかのせなか。	outbath-oil	いるかのせなか。ヘアオイル	data/products/images/いるかのせなか_ヘアオイル_80ml_公式.png	drama-iruka-oil
いるかのせなか。	outbath-water	いるかのせなか。ミスト	data/products/images/いるかのせなか_ミスト_150ml_公式.png	drama-iruka-mist
System Professional	shampoo	アルタイム R シャンプー	data/products/images/アルタイム_リペア_シャンプー_250ml.png	wella-ultimerepair-sh
System Professional	hair-mask	アルタイム R インテンス マスク	data/products/images/アルタイム_リペア_インテンス_マスク_150ml.jpg	wella-ultimerepair-mask
System Professional	out-bath-milk	アルタイム RM ヘアトリートメント	data/products/images/アルタイム_リペア_ミラクルヘアトリートメント.png	wella-ultimerepair-treatment
System Professional	out-bath-milk	アルタイム RM ナイトトリートメント	data/products/images/アルタイム_リペア_ミラクルナイトトリートメント.png	wella-ultimerepair-nighttreatment
System Professional	out-bath-oil	アルタイム RM ヘアオイル	data/products/images/アルタイム_リペア_ミラクルヘアオイル.png	wella-ultimerepair-oil
System Professional	shampoo	アルタイム S シャンプー	data/products/images/アルタイム_スムース_シャンプー_250ml.jpg	wella-ultimesmooth-sh
System Professional	hair-mask	アルタイム S インテンス マスク	data/products/images/アルタイム_スムース_インテンス_マスク_150ml.jpg	wella-ultimesmooth-mask
System Professional	out-bath-milk	アルタイム S ミラクル ミルクスプレー	data/products/images/アルタイム_スムース_ミラクルミルクスプレー_100ml.jpg	wella-ultimesmooth-milkspray
System Professional	out-bath-milk	アルタイム S ミラクル バームトリートメント	data/products/images/アルタイム_スムース_ミラクルバームトリートメント_100ml.jpg	wella-ultimesmooth-balm
System Professional	out-bath-oil	アルタイム S ミラクル オイルセラム	data/products/images/アルタイム_スムース_ミラクルオイルセラム_100ml.jpg	wella-ultimesmooth-oilserum
Davines	shampoo	エッセンシャル モモ シャンプー	data/products/images/Davines_MOMO_シャンプー_250ml_公式.jpg	davines-momo-sh
Davines	treatment	エッセンシャル モモ コンディショナー	data/products/images/Davines_MOMO_コンディショナー_250ml_公式.jpg	davines-momo-co
Davines	shampoo	エッセンシャル メル シャンプー	data/products/images/Davines_MELU_シャンプー_250ml_公式.jpg	davines-melu-sh
Davines	treatment	エッセンシャル メル コンディショナー	data/products/images/Davines_MELU_コンディショナー_250ml_公式.jpg	davines-melu-co
Davines	shampoo	エッセンシャル ラブ シャンプー	data/products/images/Davines_LOVE_シャンプー_250ml_公式.jpg	davines-love-sh
Davines	treatment	エッセンシャル ラブ コンディショナー	data/products/images/Davines_LOVE_コンディショナー_250ml_公式.jpg	davines-love-co
Davines	shampoo	エッセンシャル ミヌ シャンプー	data/products/images/Davines_MINU_シャンプー_250ml_公式.jpg	davines-minu-sh
Davines	treatment	エッセンシャル ミヌ コンディショナー	data/products/images/Davines_MINU_コンディショナー_250ml_公式.jpg	davines-minu-co
Davines	shampoo	エッセンシャル ヴォル シャンプー	data/products/images/Davines_VOLU_シャンプー_250ml_公式.jpg	davines-volu-sh
Davines	treatment	エッセンシャル ヴォル コンディショナー	data/products/images/Davines_VOLU_コンディショナー_250ml_公式.jpg	davines-volu-co
Davines	shampoo	オイ シャンプー	data/products/images/Davines_OI_シャンプー_280ml_公式.jpg	davines-oi-sh
Davines	treatment	オイ コンディショナー	data/products/images/Davines_OI_コンディショナー_250ml_公式.jpg	davines-oi-co
Davines	out-bath-oil	オイ オイル	data/products/images/Davines_OI_オイル_135ml_公式.jpg	davines-oi-oil
Davines	shampoo	SU ヘア アンド ボディウォッシュ	data/products/images/Davines_SU_Hair_Body_Wash.png	davines-su-shower
Schwarzkopf	shampoo	ファイバープレックス ボンド シャンプー	data/products/images/ファイバープレックス_ボンドシャンプー_250ml.png	schwarzkopf-fibreplex-sh
Schwarzkopf	treatment	ファイバープレックス ボンド トリートメント	data/products/images/ファイバープレックス_ボンドトリートメント_250g.png	schwarzkopf-fibreplex-tr
Schwarzkopf	out-bath-oil	ファイバープレックス ボンドオイル	data/products/images/ファイバープレックス_ボンドオイル_150mL.png	schwarzkopf-fibreplex-bondoil
Schwarzkopf	out-bath-milk	ファイバープレックス ボンドミルク	data/products/images/ファイバープレックス_ボンドミルク_100g.png	schwarzkopf-fibreplex-bondmilk
